Designator,Mid X,Mid Y,Rotation,Layer
D1,52.218733,-43.539422,90.0,bottom
D10,109.614733,-60.072172,90.0,bottom
D11,128.672733,-62.707422,90.0,bottom
D12,147.528733,-62.707422,90.0,bottom
D13,52.362733,-81.649422,90.0,bottom
D14,71.446733,-81.775422,90.0,bottom
D15,90.530733,-80.458797,90.0,bottom
D16,109.360733,-79.140172,90.0,bottom
D17,128.444733,-81.775422,90.0,bottom
D18,146.766733,-81.775422,90.0,bottom
D19,52.362733,-100.843422,90.0,bottom
D2,71.428733,-43.539422,90.0,bottom
D20,52.362733,-119.657422,90.0,bottom
D21,52.616733,-138.725422,90.0,top
D22,71.446733,-100.843422,90.0,bottom
D23,71.700733,-119.657422,90.0,bottom
D24,71.700733,-138.725422,90.0,bottom
D25,90.530733,-99.652797,90.0,bottom
D26,90.530733,-118.466797,90.0,bottom
D27,90.530733,-137.534797,90.0,bottom
D28,109.360733,-98.208172,90.0,bottom
D29,109.360733,-117.276172,90.0,bottom
D3,90.530733,-42.348797,90.0,bottom
D30,142.00688,-144.363201,101.25,top
D31,128.444733,-100.843422,90.0,bottom
D32,128.444733,-119.657422,90.0,bottom
D33,162.900627,-134.756376,112.5,top
D34,147.274733,-100.843422,90.0,bottom
D35,147.274733,-119.657422,90.0,bottom
D36,180.075112,-119.854027,135.0,top
D4,109.614733,-41.022172,90.0,bottom
D5,128.698733,-43.657422,90.0,bottom
D6,147.782733,-43.657422,90.0,bottom
D7,52.362733,-62.453422,90.0,bottom
D8,71.446733,-62.707422,90.0,bottom
D9,90.530733,-61.516797,90.0,bottom
S1,42.778733,-45.689422,0.0,top
S10,99.928732,-62.158172,0.0,top
S11,118.878736,-64.739422,0.0,top
S12,137.828735,-64.739422,0.0,top
S13,42.778733,-83.789422,0.0,top
S14,61.828732,-83.789422,0.0,top
S15,80.778736,-82.598797,0.0,top
S16,99.728729,-81.208172,0.0,top
S17,118.678733,-83.789422,0.0,top
S18,137.628732,-83.789422,0.0,top
S19,42.778733,-102.839422,0.0,top
S2,61.828733,-45.689422,0.0,top
S20,42.778733,-121.889422,0.0,top
S21,42.778733,-140.939422,0.0,top
S22,61.828732,-102.839422,0.0,top
S23,61.828732,-121.889422,0.0,top
S24,61.828732,-140.939422,0.0,top
S25,80.778736,-101.648797,0.0,top
S26,80.778736,-120.698797,0.0,top
S27,80.778736,-139.748797,0.0,top
S28,99.728729,-100.258172,0.0,top
S29,99.728729,-119.308172,0.0,top
S3,80.878733,-44.498797,0.0,top
S30,132.952866,-148.217615,11.25,top
S31,118.678733,-102.839422,0.0,top
S32,118.678733,-121.889422,0.0,top
S33,154.822482,-140.773797,22.5,top
S34,137.628732,-102.839422,0.0,top
S35,137.628732,-121.889422,0.0,top
S36,174.819896,-128.240316,45.0,top
S37,163.982733,-63.605422,180.0,top
S38,163.982733,-63.605422,180.0,bottom
S4,99.928733,-43.308172,0.0,top
S5,118.978733,-45.689422,0.0,top
S6,138.028733,-45.689422,0.0,top
S7,42.778733,-64.739422,0.0,top
S8,61.828732,-64.739422,0.0,top
S9,80.878732,-63.548797,0.0,top
U1,163.638733,-89.105422,0.0,top
